Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2010","2010","1000 tonnes","2477810","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2011","2011","1000 tonnes","2599050","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2012","2012","1000 tonnes","2578494","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2013","2013","1000 tonnes","2779771","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2014","2014","1000 tonnes","2808741","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2015","2015","1000 tonnes","2832725","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2016","2016","1000 tonnes","2911369","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2017","2017","1000 tonnes","2961043","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2018","2018","1000 tonnes","2912462","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2905","Cereals - Excluding Beer","2019","2019","1000 tonnes","2977573","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2010","2010","1000 tonnes","743686","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2011","2011","1000 tonnes","795233","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2012","2012","1000 tonnes","794193","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2013","2013","1000 tonnes","805284","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2014","2014","1000 tonnes","839564","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2015","2015","1000 tonnes","835956","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2016","2016","1000 tonnes","829446","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2017","2017","1000 tonnes","845466","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2018","2018","1000 tonnes","843321","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2907","Starchy Roots","2019","2019","1000 tonnes","860922","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2010","2010","1000 tonnes","1897173","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2011","2011","1000 tonnes","2062047","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2012","2012","1000 tonnes","2097069","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2013","2013","1000 tonnes","2148634","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2014","2014","1000 tonnes","2157853","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2015","2015","1000 tonnes","2118041","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2016","2016","1000 tonnes","2163003","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2017","2017","1000 tonnes","2152515","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2018","2018","1000 tonnes","2207710","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2908","Sugar Crops","2019","2019","1000 tonnes","2234864","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2010","2010","1000 tonnes","211528","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2011","2011","1000 tonnes","224755","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2012","2012","1000 tonnes","236403","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2013","2013","1000 tonnes","238756","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2014","2014","1000 tonnes","239308","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2015","2015","1000 tonnes","232862","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2016","2016","1000 tonnes","237709","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2017","2017","1000 tonnes","242079","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2018","2018","1000 tonnes","244385","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2909","Sugar & Sweeteners","2019","2019","1000 tonnes","240099","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2010","2010","1000 tonnes","71467","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2011","2011","1000 tonnes","69769","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2012","2012","1000 tonnes","74510","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2013","2013","1000 tonnes","78680","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2014","2014","1000 tonnes","77279","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2015","2015","1000 tonnes","77135","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2016","2016","1000 tonnes","84391","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2017","2017","1000 tonnes","95180","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2018","2018","1000 tonnes","91231","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2911","Pulses","2019","2019","1000 tonnes","85252","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2010","2010","1000 tonnes","14248","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2011","2011","1000 tonnes","15239","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2012","2012","1000 tonnes","15905","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2013","2013","1000 tonnes","15170","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2014","2014","1000 tonnes","15325","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2015","2015","1000 tonnes","16566","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2016","2016","1000 tonnes","17087","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2017","2017","1000 tonnes","18136","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2018","2018","1000 tonnes","18899","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2912","Treenuts","2019","2019","1000 tonnes","19594","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2010","2010","1000 tonnes","808056","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2011","2011","1000 tonnes","846408","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2012","2012","1000 tonnes","837501","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2013","2013","1000 tonnes","913699","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2014","2014","1000 tonnes","939376","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2015","2015","1000 tonnes","958198","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2016","2016","1000 tonnes","970240","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2017","2017","1000 tonnes","1077621","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2018","2018","1000 tonnes","1079420","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2913","Oilcrops","2019","2019","1000 tonnes","1071830","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2010","2010","1000 tonnes","162507","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2011","2011","1000 tonnes","169909","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2012","2012","1000 tonnes","176505","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2013","2013","1000 tonnes","179280","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2014","2014","1000 tonnes","187148","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2015","2015","1000 tonnes","195263","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2016","2016","1000 tonnes","193027","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2017","2017","1000 tonnes","212213","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2018","2018","1000 tonnes","218945","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2914","Vegetable Oils","2019","2019","1000 tonnes","225670","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2010","2010","1000 tonnes","1036323","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2011","2011","1000 tonnes","1070293","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2012","2012","1000 tonnes","1097992","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2013","2013","1000 tonnes","1119626","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2014","2014","1000 tonnes","1155664","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2015","2015","1000 tonnes","1183327","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2016","2016","1000 tonnes","1205341","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2017","2017","1000 tonnes","1224482","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2018","2018","1000 tonnes","1238504","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2918","Vegetables","2019","2019","1000 tonnes","1256965","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2010","2010","1000 tonnes","612180","I","Imputed value"
"FBS","Food Balances (2010-)","001","World","5511","Production","S2919","Fruits - Excluding Wine","2011","2011","1000 tonnes","635688","I","Imputed value"
